gender,assignment,education,country,quiz,online_course,stipend
male,86,bachelor,Congo,74,none,76
male,98,bachelor,Senegal,90,completed,87
female,95,bachelor,Congo,92,completed,89
male,83,bachelor,Senegal,73,none,78
male,62,bachelor,Nigeria,57,none,61
male,52,masters,Senegal,49,none,53
male,76,bachelor,Sudan,79,completed,83
female,44,masters,Senegal,52,none,61
male,69,bachelor,Nigeria,77,completed,77
male,91,bachelor,Senegal,79,completed,81
male,64,masters,Sudan,50,none,54
female,38,masters,Nigeria,50,none,60
female,67,bachelor,Senegal,70,completed,75
male,81,bachelor,Sudan,77,completed,72
female,75,masters,Senegal,85,none,88
male,75,bachelor,Cameroon,74,none,81
male,63,bachelor,Cameroon,61,none,61
female,63,masters,Senegal,74,none,69
male,82,masters,Senegal,82,completed,84
female,74,masters,Sudan,82,none,79
female,72,masters,Nigeria,79,none,81
female,48,masters,Nigeria,60,none,62
female,66,masters,Nigeria,68,none,69
male,66,bachelor,Senegal,52,none,59
female,53,masters,Sudan,68,none,61
female,41,masters,Congo,40,none,45
male,59,masters,Nigeria,47,none,58
male,84,bachelor,Senegal,81,none,87
male,68,bachelor,Senegal,61,none,68
male,84,bachelor,Senegal,80,none,80
male,62,bachelor,Nigeria,68,completed,66
male,70,bachelor,Senegal,74,completed,75
female,82,bachelor,Sudan,89,none,95
female,24,masters,Nigeria,27,none,38
male,80,bachelor,Senegal,66,none,64
male,52,bachelor,Sudan,50,none,57
female,81,masters,Congo,91,none,92
female,42,bachelor,Senegal,69,completed,66
female,87,bachelor,Senegal,94,completed,89
female,74,bachelor,Nigeria,76,none,81
female,69,masters,Sudan,73,none,77
male,100,bachelor,Cameroon,86,completed,96
female,52,bachelor,Senegal,58,none,58
male,72,masters,Cameroon,74,completed,73
female,71,masters,Senegal,87,completed,84
male,72,masters,Sudan,66,none,66
female,59,bachelor,Nigeria,66,completed,70
female,65,masters,Senegal,75,completed,76
female,55,masters,Sudan,70,none,64
male,63,masters,Sudan,56,none,57
female,76,masters,Senegal,85,completed,87
female,42,bachelor,Sudan,58,completed,61
female,46,masters,Nigeria,58,completed,54
female,56,masters,Sudan,74,completed,68
male,70,masters,Senegal,51,none,56
female,73,bachelor,Nigeria,80,none,76
female,67,masters,Senegal,84,completed,79
female,47,masters,Cameroon,50,none,59
female,80,masters,Sudan,82,none,90
male,88,masters,Nigeria,75,none,84
female,71,bachelor,Sudan,74,none,71
male,81,bachelor,Cameroon,81,completed,78
female,68,bachelor,Nigeria,80,completed,77
male,64,masters,Nigeria,57,completed,53
male,63,bachelor,Sudan,67,none,66
male,48,masters,Nigeria,45,none,52
female,69,bachelor,Sudan,77,none,77
female,87,bachelor,Congo,93,none,85
female,74,bachelor,Sudan,90,completed,88
male,73,masters,Congo,59,completed,67
female,85,masters,Cameroon,92,completed,90
female,80,bachelor,Sudan,89,none,90
male,81,bachelor,Nigeria,72,none,73
female,22,bachelor,Senegal,33,none,39
male,45,masters,Senegal,49,completed,52
male,53,masters,Cameroon,44,none,58
female,42,masters,Nigeria,51,none,52
female,53,masters,Senegal,64,none,72
female,76,masters,Nigeria,82,completed,85
female,59,bachelor,Senegal,64,none,62
female,0,masters,Senegal,10,none,17
male,97,bachelor,Congo,82,none,87
female,62,masters,Nigeria,63,none,62
male,87,bachelor,Cameroon,87,completed,84
female,72,bachelor,Nigeria,74,none,72
male,84,bachelor,Congo,71,none,77
male,67,masters,Senegal,68,completed,73
male,44,bachelor,Sudan,53,none,54
male,67,bachelor,Cameroon,53,none,57
female,60,masters,Senegal,72,none,68
female,66,masters,Congo,78,completed,74
female,46,bachelor,Sudan,57,none,56
male,79,masters,Senegal,77,none,78
female,72,masters,Senegal,83,none,80
female,77,masters,Nigeria,84,none,90
female,63,masters,Senegal,68,none,73
female,77,bachelor,Sudan,77,none,68
female,71,bachelor,Congo,76,none,70
male,80,bachelor,Nigeria,64,none,76
male,82,masters,Congo,61,none,67
female,56,bachelor,Cameroon,64,none,58
male,58,bachelor,Senegal,42,none,49
female,58,bachelor,Sudan,73,completed,63
female,38,masters,Cameroon,43,none,43
male,67,bachelor,Sudan,68,completed,61
male,75,masters,Senegal,71,none,81
male,57,bachelor,Senegal,56,completed,54
female,100,bachelor,Congo,100,none,100
female,64,masters,Congo,68,none,62
male,58,bachelor,Sudan,58,completed,59
male,58,masters,Senegal,52,none,61
female,87,masters,Sudan,100,none,100
male,85,bachelor,Sudan,85,completed,81
female,52,bachelor,Nigeria,69,none,65
female,42,bachelor,Congo,54,completed,55
female,53,bachelor,Nigeria,70,none,70
male,78,bachelor,Congo,72,completed,74
female,77,masters,Senegal,88,none,91
female,88,bachelor,Nigeria,92,completed,95
female,77,bachelor,Senegal,87,none,88
male,88,bachelor,Sudan,77,none,77
female,44,masters,Senegal,51,none,50
female,70,masters,Nigeria,72,none,64
female,78,bachelor,Sudan,93,none,90
female,94,masters,Congo,100,completed,99
male,43,bachelor,Senegal,50,completed,45
female,65,bachelor,Sudan,62,none,67
female,62,bachelor,Congo,70,none,73
female,71,masters,Cameroon,77,none,83
female,80,bachelor,Congo,83,none,83
female,68,bachelor,Congo,67,none,76
male,87,bachelor,Sudan,85,completed,84
male,71,masters,Senegal,61,none,60
female,69,masters,Sudan,81,completed,86
male,69,masters,Sudan,71,none,75
male,76,bachelor,Congo,72,none,71
female,52,bachelor,Nigeria,73,completed,66
male,65,bachelor,Senegal,65,completed,67
male,62,masters,Nigeria,54,none,55
female,58,bachelor,Senegal,66,none,59
female,65,masters,Senegal,67,none,69
female,96,bachelor,Senegal,99,completed,96
female,91,bachelor,Senegal,94,none,95
male,72,masters,Nigeria,67,none,68
female,67,bachelor,Senegal,72,none,75
female,73,bachelor,Sudan,80,completed,75
female,68,bachelor,Sudan,81,completed,75
male,61,bachelor,Sudan,76,completed,70
female,59,masters,Senegal,65,completed,71
female,62,bachelor,Nigeria,67,none,67
male,91,bachelor,Senegal,76,none,74
female,85,masters,Senegal,93,completed,92
female,64,bachelor,Senegal,68,none,73
male,75,masters,Senegal,68,completed,69
male,66,masters,Senegal,59,none,66
male,48,bachelor,Nigeria,46,none,51
male,56,masters,Senegal,60,completed,61
male,87,bachelor,Nigeria,86,completed,84
female,79,bachelor,Sudan,91,completed,84
female,58,bachelor,Nigeria,65,none,63
female,48,masters,Senegal,52,none,58
male,76,bachelor,Senegal,75,none,78
female,60,masters,Nigeria,74,completed,70
male,64,masters,Sudan,67,completed,64
male,49,bachelor,Senegal,51,none,51
female,92,masters,Sudan,100,none,100
male,67,masters,Senegal,59,none,57
female,81,masters,Senegal,82,none,84
female,70,masters,Senegal,76,completed,82
male,60,bachelor,Nigeria,60,completed,62
male,79,masters,Senegal,65,none,76
male,93,bachelor,Congo,83,none,90
female,99,bachelor,Congo,100,completed,100
male,75,masters,Senegal,62,none,72
male,49,masters,Senegal,41,none,49
female,55,masters,Senegal,62,none,65
female,62,masters,Senegal,64,none,67
female,64,masters,Senegal,77,completed,79
female,32,masters,Nigeria,44,completed,51
female,82,bachelor,Sudan,96,completed,97
male,73,masters,Senegal,66,none,66
male,47,masters,Cameroon,49,completed,49
male,93,bachelor,Senegal,90,completed,84
male,61,bachelor,Nigeria,41,none,42
female,70,bachelor,Sudan,78,completed,78
male,68,masters,Nigeria,53,none,54
male,69,bachelor,Sudan,60,none,66
female,58,masters,Senegal,77,completed,75
male,68,bachelor,Sudan,67,none,68
female,90,masters,Nigeria,93,none,95
female,53,bachelor,Congo,57,none,58
female,59,masters,Senegal,68,none,72
male,84,masters,Senegal,74,none,77
female,54,bachelor,Cameroon,67,none,63
male,88,masters,Sudan,75,completed,74
male,78,masters,Congo,80,completed,83
female,35,masters,Senegal,54,none,61
female,93,bachelor,Sudan,100,completed,100
female,48,masters,Cameroon,65,none,66
male,39,masters,Cameroon,34,none,39
male,70,masters,Senegal,71,none,74
male,88,bachelor,Sudan,78,none,73
male,48,masters,Cameroon,41,none,45
male,44,masters,Sudan,48,none,51
female,81,masters,Senegal,87,completed,91
male,61,masters,Senegal,55,none,56
male,82,bachelor,Senegal,77,completed,75
female,73,bachelor,Congo,76,completed,78
male,87,masters,Congo,81,completed,91
female,59,masters,Sudan,59,none,58
female,41,masters,Nigeria,51,none,55
male,81,masters,Sudan,78,none,78
female,77,masters,Nigeria,94,completed,97
female,42,masters,Senegal,60,none,62
female,74,masters,Nigeria,72,none,72
female,65,masters,Sudan,81,none,82
male,61,bachelor,Cameroon,52,completed,51
female,71,bachelor,Senegal,80,completed,71
female,75,bachelor,Sudan,83,completed,77
male,76,masters,Sudan,68,none,73
female,53,bachelor,Senegal,56,none,62
female,66,bachelor,Senegal,83,completed,83
male,45,masters,Cameroon,49,none,47
male,63,bachelor,Sudan,60,none,61
female,73,masters,Nigeria,79,none,79
male,54,bachelor,Nigeria,45,none,54
female,86,bachelor,Senegal,87,none,92
male,57,masters,Congo,54,completed,56
female,53,masters,Cameroon,60,completed,50
male,88,masters,Senegal,86,none,89
female,66,bachelor,Congo,73,completed,74
female,98,bachelor,Sudan,99,none,100
female,44,masters,Senegal,55,completed,51
female,69,bachelor,Sudan,74,none,74
male,72,bachelor,Sudan,74,none,79
male,64,masters,Cameroon,43,none,50
male,61,masters,Senegal,66,none,67
male,70,masters,Nigeria,60,none,65
male,87,masters,Congo,76,completed,84
male,46,masters,Cameroon,43,completed,41
female,51,bachelor,Congo,54,none,51
female,63,bachelor,Senegal,74,none,74
female,68,masters,Nigeria,78,completed,83
male,53,masters,Sudan,42,none,52
male,82,bachelor,Nigeria,78,completed,84
male,49,masters,Nigeria,52,none,53
male,60,bachelor,Nigeria,60,none,60
female,49,masters,Senegal,56,none,63
female,63,bachelor,Nigeria,61,none,65
female,72,masters,Senegal,75,none,80
female,27,masters,Sudan,32,none,34
male,49,bachelor,Sudan,46,none,57
male,86,masters,Congo,75,completed,81
female,92,bachelor,Senegal,99,completed,100
male,46,bachelor,Congo,44,completed,43
female,50,masters,Nigeria,55,none,53
male,82,bachelor,Congo,62,none,62
male,85,bachelor,Senegal,71,none,76
male,84,masters,Sudan,80,none,84
female,45,masters,Sudan,59,none,63
female,83,bachelor,Congo,88,completed,86
male,68,bachelor,Sudan,74,completed,74
female,79,bachelor,Sudan,81,none,86
male,73,bachelor,Senegal,61,none,74
female,64,masters,Sudan,66,none,63
male,74,bachelor,Nigeria,76,completed,77
male,79,masters,Nigeria,86,completed,85
female,66,bachelor,Congo,69,none,65
male,77,bachelor,Senegal,64,none,67
male,79,bachelor,Nigeria,67,none,67
female,97,masters,Sudan,100,completed,100
male,74,masters,Sudan,78,completed,71
female,44,bachelor,Senegal,62,none,63
male,62,masters,Sudan,61,none,67
male,53,bachelor,Cameroon,43,none,43
female,77,bachelor,Nigeria,87,none,85
female,65,masters,Senegal,80,none,86
female,74,bachelor,Sudan,79,completed,75
female,88,bachelor,Senegal,94,completed,95
male,73,bachelor,Senegal,72,completed,78
female,55,bachelor,Cameroon,62,completed,65
male,45,masters,Sudan,37,none,37
male,35,bachelor,Senegal,27,none,28
male,89,bachelor,Congo,74,none,76
female,78,bachelor,Cameroon,91,completed,87
female,82,bachelor,Senegal,93,completed,93
male,53,masters,Senegal,51,completed,51
male,96,bachelor,Senegal,92,completed,90
female,35,masters,Senegal,46,none,53
female,68,masters,Sudan,75,none,71
female,61,masters,Cameroon,63,none,68
female,49,masters,Nigeria,55,none,58
male,68,bachelor,Senegal,61,none,65
female,88,masters,Congo,95,completed,99
female,56,masters,Congo,65,none,72
female,71,bachelor,Congo,70,completed,70
female,65,bachelor,Senegal,74,none,77
male,71,masters,Cameroon,64,none,74
female,92,bachelor,Congo,100,completed,100
female,50,masters,Cameroon,73,none,67
male,70,bachelor,Sudan,58,none,63
male,88,masters,Sudan,75,none,78
female,70,bachelor,Congo,81,none,84
female,55,bachelor,Sudan,69,none,71
female,59,masters,Congo,75,completed,63
male,41,bachelor,Nigeria,34,none,39
female,65,bachelor,Senegal,74,none,72
male,59,masters,Sudan,41,none,42
female,54,bachelor,Senegal,58,none,61
female,62,bachelor,Senegal,70,none,72
female,63,bachelor,Senegal,71,completed,73
male,89,masters,Sudan,82,none,84
male,51,masters,Cameroon,36,none,31
male,40,bachelor,Sudan,43,none,52
male,76,bachelor,Senegal,68,none,70
male,74,masters,Sudan,72,none,74
female,69,bachelor,Cameroon,82,none,84
female,67,bachelor,Sudan,83,completed,86
male,68,bachelor,Congo,64,none,68
male,66,bachelor,Congo,64,completed,63
male,66,masters,Nigeria,70,none,77
male,55,bachelor,Sudan,44,none,46
male,90,masters,Congo,84,none,85
female,51,bachelor,Sudan,54,none,58
female,82,bachelor,Nigeria,87,none,85
male,59,bachelor,Sudan,61,none,62
female,50,masters,Senegal,60,completed,60
male,87,bachelor,Congo,70,completed,74
female,54,bachelor,Senegal,65,none,64
male,63,masters,Senegal,57,completed,60
female,70,bachelor,Senegal,76,completed,72
female,65,bachelor,Cameroon,76,none,85
male,52,masters,Nigeria,49,none,48
female,61,masters,Senegal,63,none,73
male,74,masters,Congo,60,completed,64
female,59,bachelor,Congo,69,none,62
female,81,masters,Sudan,96,none,97
male,65,bachelor,Sudan,74,completed,77
male,87,bachelor,Senegal,72,none,73
female,82,bachelor,Congo,86,completed,85
female,59,masters,Sudan,80,none,72
female,57,masters,Congo,73,completed,75
male,94,masters,Nigeria,87,completed,86
male,90,bachelor,Nigeria,81,none,78
male,49,masters,Nigeria,45,none,45
male,92,bachelor,Senegal,84,none,79
male,79,masters,Senegal,75,completed,77
female,52,bachelor,Sudan,56,none,59
female,54,masters,Nigeria,62,completed,61
male,58,bachelor,Cameroon,57,none,60
female,67,bachelor,Senegal,75,none,69
female,73,masters,Sudan,85,none,84
male,68,masters,Congo,57,completed,51
female,77,bachelor,Sudan,86,none,86
male,46,bachelor,Congo,41,none,43
female,66,masters,Senegal,76,none,71
female,83,bachelor,Senegal,90,completed,85
female,57,bachelor,Sudan,79,completed,78
male,76,masters,Senegal,73,completed,80
female,39,bachelor,Senegal,57,none,64
male,87,bachelor,Senegal,95,completed,100
female,65,masters,Senegal,81,completed,81
female,50,masters,Nigeria,63,none,67
female,59,bachelor,Senegal,72,completed,73
male,36,masters,Nigeria,27,none,29
female,68,bachelor,Congo,66,none,70
male,80,bachelor,Sudan,69,none,75
male,97,bachelor,Cameroon,86,completed,92
female,85,bachelor,Sudan,98,completed,86
female,87,masters,Nigeria,86,none,95
male,62,bachelor,Congo,53,completed,56
female,73,masters,Sudan,82,none,86
male,54,bachelor,Cameroon,47,none,53
male,40,bachelor,Sudan,38,none,42
female,65,masters,Nigeria,78,completed,82
male,49,bachelor,Cameroon,60,completed,58
male,66,masters,Cameroon,64,completed,68
female,84,bachelor,Congo,92,none,95
female,74,bachelor,Senegal,89,completed,86
male,60,bachelor,Sudan,59,none,63
male,74,masters,Nigeria,57,none,63
female,19,bachelor,Nigeria,32,none,38
male,74,bachelor,Sudan,80,completed,71
male,61,bachelor,Sudan,52,none,55
female,66,masters,Sudan,78,completed,78
female,54,masters,Sudan,63,none,60
female,67,bachelor,Senegal,86,completed,84
male,74,masters,Sudan,69,none,70
male,75,bachelor,Sudan,74,none,73
male,86,masters,Senegal,80,completed,81
male,65,bachelor,Senegal,49,none,58
male,72,masters,Nigeria,68,completed,65
female,62,masters,Nigeria,66,none,64
male,51,masters,Nigeria,41,completed,54
male,89,masters,Sudan,79,none,87
female,41,bachelor,Cameroon,48,none,51
male,88,bachelor,Sudan,83,none,78
male,53,masters,Senegal,40,completed,37
female,54,bachelor,Senegal,52,none,48
male,76,bachelor,Congo,67,none,67
female,67,masters,Senegal,77,completed,74
female,66,bachelor,Senegal,73,none,77
male,79,bachelor,Cameroon,82,completed,82
female,35,bachelor,Senegal,43,none,44
male,90,masters,Senegal,69,none,75
male,62,masters,Senegal,55,none,64
male,77,masters,Congo,77,completed,76
male,84,bachelor,Congo,78,completed,83
female,69,bachelor,Sudan,81,completed,79
male,71,masters,Sudan,68,completed,69
female,99,masters,Congo,90,none,93
male,91,bachelor,Nigeria,92,completed,89
female,75,bachelor,Senegal,84,completed,81
male,57,masters,Sudan,54,none,50
male,90,bachelor,Congo,82,none,90
female,65,masters,Senegal,76,none,69
male,68,bachelor,Congo,59,none,60
female,62,bachelor,Senegal,70,none,74
female,71,bachelor,Senegal,77,completed,77
female,53,bachelor,Nigeria,67,none,71
male,59,bachelor,Senegal,42,none,41
female,70,bachelor,Senegal,88,completed,89
male,75,bachelor,Sudan,73,none,66
female,73,bachelor,Senegal,82,none,80
female,88,bachelor,Senegal,93,completed,93
male,62,bachelor,Senegal,58,none,65
female,73,masters,Sudan,84,none,92
male,70,masters,Congo,56,none,55
female,49,bachelor,Senegal,53,none,53
female,45,bachelor,Cameroon,64,none,59
female,79,bachelor,Congo,82,completed,81
female,78,masters,Sudan,96,none,91
female,65,bachelor,Congo,77,completed,75
female,63,bachelor,Senegal,81,none,75
male,49,masters,Nigeria,52,completed,50
male,61,bachelor,Nigeria,56,none,58
male,39,bachelor,Sudan,38,completed,42
male,60,masters,Sudan,51,none,57
female,69,masters,Senegal,73,none,73
male,81,masters,Sudan,84,none,81
female,68,masters,Cameroon,76,completed,80
female,82,masters,Nigeria,80,none,82
female,79,bachelor,Sudan,86,none,89
male,61,masters,Nigeria,56,completed,56
female,85,masters,Sudan,100,completed,95
female,75,bachelor,Congo,85,completed,88
male,77,bachelor,Sudan,73,none,78
male,61,masters,Senegal,55,none,60
male,59,masters,Senegal,65,completed,69
male,65,bachelor,Nigeria,57,none,54
female,64,bachelor,Sudan,75,none,74
female,52,bachelor,Senegal,66,completed,61
male,89,masters,Congo,77,completed,84
male,67,bachelor,Sudan,70,none,64
female,58,masters,Nigeria,59,none,62
female,54,bachelor,Senegal,61,none,58
female,75,bachelor,Sudan,88,completed,90
male,68,masters,Cameroon,66,none,70
male,53,masters,Senegal,49,completed,52
male,97,bachelor,Senegal,91,none,93
male,65,masters,Nigeria,62,completed,66
female,62,bachelor,Senegal,80,completed,76
female,60,bachelor,Senegal,74,none,75
male,80,masters,Sudan,79,completed,79
male,60,masters,Sudan,54,none,59
female,55,bachelor,Sudan,76,none,76
female,71,bachelor,Sudan,83,completed,76
female,55,masters,Cameroon,73,none,73
female,73,bachelor,Congo,78,none,76
male,59,bachelor,Nigeria,66,completed,65
male,91,bachelor,Nigeria,91,completed,96
female,65,masters,Nigeria,73,none,81
male,72,bachelor,Sudan,58,none,57
female,85,bachelor,Senegal,95,none,89
female,82,bachelor,Senegal,94,none,90
female,52,bachelor,Nigeria,70,none,76
male,61,masters,Senegal,56,none,57
male,83,bachelor,Congo,73,none,80
male,78,masters,Sudan,80,completed,77
female,81,masters,Nigeria,89,none,91
female,65,bachelor,Nigeria,70,completed,75
male,95,masters,Sudan,84,none,81
male,75,bachelor,Cameroon,62,completed,58
female,52,masters,Senegal,61,none,65
male,83,bachelor,Senegal,78,none,72
female,45,bachelor,Nigeria,55,none,53
female,82,bachelor,Nigeria,77,none,80
female,18,masters,Nigeria,28,none,32
male,82,bachelor,Nigeria,74,completed,78
male,58,masters,Senegal,54,completed,52
male,55,masters,Sudan,59,completed,59
female,81,bachelor,Senegal,90,none,88
female,47,masters,Sudan,67,completed,58
female,74,bachelor,Sudan,84,none,89
female,73,bachelor,Sudan,84,none,79
female,65,masters,Sudan,71,completed,61
female,96,bachelor,Senegal,100,completed,100
female,73,bachelor,Nigeria,76,none,83
female,40,bachelor,Nigeria,50,none,48
male,66,masters,Sudan,69,none,74
male,88,bachelor,Nigeria,76,completed,85
female,67,masters,Sudan,74,none,72
male,76,bachelor,Congo,67,none,71
male,55,masters,Cameroon,43,none,46
male,74,bachelor,Senegal,73,none,77
male,79,masters,Nigeria,65,none,60
male,63,masters,Nigeria,67,completed,67
male,45,masters,Sudan,46,none,48
female,65,bachelor,Senegal,81,none,79
male,72,masters,Cameroon,65,completed,67
male,50,masters,Senegal,42,none,48
female,77,masters,Cameroon,85,completed,88
female,74,bachelor,Senegal,83,completed,75
male,63,bachelor,Senegal,66,completed,64
female,52,bachelor,Senegal,57,none,55
male,82,masters,Nigeria,80,none,82
male,60,masters,Nigeria,60,none,68
male,81,bachelor,Congo,79,completed,81
male,61,bachelor,Senegal,61,none,66
female,67,masters,Sudan,84,none,84
male,81,bachelor,Sudan,78,none,75
female,43,masters,Senegal,53,none,53
male,64,masters,Senegal,51,none,58
female,61,bachelor,Congo,62,none,58
female,69,masters,Nigeria,74,completed,76
male,40,masters,Senegal,50,completed,46
female,32,bachelor,Senegal,33,none,39
female,75,bachelor,Senegal,90,completed,82
female,92,masters,Cameroon,97,completed,100
male,88,bachelor,Nigeria,76,none,75
male,57,masters,Senegal,54,none,61
male,58,bachelor,Senegal,54,none,57
male,66,bachelor,Nigeria,57,none,60
male,67,bachelor,Nigeria,60,none,62
male,54,masters,Senegal,50,none,59
male,55,bachelor,Senegal,54,none,61
male,70,bachelor,Congo,70,completed,64
male,66,bachelor,Nigeria,60,none,65
female,49,bachelor,Nigeria,54,none,52
male,81,bachelor,Nigeria,82,completed,82
male,70,masters,Senegal,65,none,70
female,76,bachelor,Nigeria,87,completed,94
female,77,bachelor,Senegal,91,none,90
male,28,bachelor,Cameroon,19,none,23
female,51,masters,Sudan,62,none,66
female,61,masters,Senegal,70,none,72
male,76,bachelor,Congo,66,completed,62
male,55,masters,Sudan,48,completed,41
female,57,masters,Nigeria,72,none,67
male,69,bachelor,Senegal,69,none,77
female,57,bachelor,Congo,73,completed,68
female,76,bachelor,Sudan,73,none,74
female,35,masters,Sudan,60,completed,55
female,75,bachelor,Nigeria,82,none,85
male,52,masters,Nigeria,46,completed,49
male,79,masters,Cameroon,73,none,82
male,54,masters,Senegal,59,none,72
female,54,masters,Senegal,67,completed,64
female,88,masters,Sudan,100,completed,99
female,64,bachelor,Sudan,74,none,76
female,63,bachelor,Senegal,80,completed,78
male,80,masters,Sudan,72,none,80
female,80,masters,Congo,85,completed,85
female,67,bachelor,Congo,75,none,76
male,59,bachelor,Congo,43,none,51
female,71,masters,Nigeria,82,none,87
male,77,masters,Sudan,69,completed,68
male,90,bachelor,Sudan,75,none,87
female,75,masters,Congo,79,none,86
female,52,bachelor,Senegal,62,completed,59
male,58,bachelor,Senegal,52,none,54
male,63,bachelor,Sudan,63,completed,55
female,46,bachelor,Senegal,57,none,58
female,50,masters,Congo,47,none,50
male,67,bachelor,Senegal,70,completed,74
male,63,bachelor,Nigeria,69,none,71
female,60,bachelor,Senegal,74,none,72
female,50,masters,Cameroon,58,none,53
male,55,bachelor,Nigeria,47,none,55
male,85,masters,Sudan,89,none,84
female,84,bachelor,Senegal,91,none,87
male,63,masters,Nigeria,47,none,48
female,59,masters,Cameroon,69,none,73
female,32,masters,Congo,38,none,34
female,55,bachelor,Senegal,65,none,69
male,69,bachelor,Cameroon,69,none,67
male,50,bachelor,Sudan,48,none,42
male,46,masters,Senegal,46,completed,42
male,77,bachelor,Sudan,62,completed,62
female,48,masters,Sudan,54,none,58
female,78,bachelor,Sudan,79,none,82
male,71,bachelor,Sudan,60,none,66
female,75,bachelor,Nigeria,80,none,84
male,73,bachelor,Senegal,66,none,68
female,58,masters,Nigeria,68,completed,70
male,91,bachelor,Cameroon,92,none,96
female,61,bachelor,Nigeria,66,none,68
male,65,bachelor,Senegal,68,completed,73
female,47,bachelor,Sudan,58,none,53
female,62,bachelor,Sudan,74,none,72
male,76,bachelor,Sudan,73,none,71
male,58,bachelor,Nigeria,45,none,50
female,57,masters,Sudan,64,completed,58
female,49,masters,Sudan,52,none,57
male,69,bachelor,Senegal,61,none,63
female,63,masters,Nigeria,79,completed,78
male,62,bachelor,Cameroon,65,none,72
male,53,bachelor,Senegal,55,none,58
female,66,bachelor,Senegal,81,completed,74
female,85,bachelor,Congo,85,none,92
male,80,bachelor,Sudan,72,none,73
female,100,bachelor,Congo,100,none,100
male,69,masters,Senegal,53,completed,58
male,46,masters,Sudan,36,none,34
male,50,bachelor,Senegal,53,completed,48
female,71,bachelor,Nigeria,78,none,83
male,91,masters,Senegal,85,completed,85
male,55,bachelor,Sudan,52,none,58
male,80,bachelor,Sudan,77,none,75
male,89,masters,Sudan,82,completed,88
female,59,bachelor,Senegal,67,none,66
male,62,bachelor,Congo,58,completed,61
female,72,masters,Congo,77,none,79
female,70,masters,Sudan,74,completed,71
female,23,masters,Nigeria,36,completed,44
male,64,bachelor,Cameroon,58,none,60
male,66,bachelor,Cameroon,62,none,64
male,81,masters,Congo,76,completed,75
male,68,bachelor,Congo,65,none,72
female,57,bachelor,Senegal,67,none,78
female,52,bachelor,Sudan,65,completed,59
male,100,bachelor,Sudan,99,completed,97
male,61,bachelor,Sudan,46,none,48
female,59,bachelor,Sudan,73,none,70
male,98,bachelor,Senegal,90,completed,86
male,78,masters,Sudan,86,completed,81
female,71,bachelor,Sudan,83,none,83
female,64,bachelor,Senegal,85,completed,85
female,62,bachelor,Sudan,72,none,70
female,69,masters,Sudan,78,completed,77
male,69,masters,Senegal,65,none,71
female,83,bachelor,Senegal,95,none,93
female,50,masters,Sudan,59,none,64
male,78,bachelor,Cameroon,70,completed,72
male,100,bachelor,Congo,100,completed,100
male,81,bachelor,Sudan,73,none,71
male,72,bachelor,Congo,63,none,64
female,69,bachelor,Sudan,74,none,65
female,76,masters,Senegal,74,none,76
female,87,bachelor,Congo,95,none,94
male,59,masters,Senegal,52,none,53
male,61,bachelor,Sudan,56,none,47
female,44,masters,Cameroon,45,none,45
